iter	Passed	Remaining
0	4	4010
1	7	3960
2	11	3925
3	15	3863
4	18	3766
5	23	3824
6	26	3764
7	30	3828
8	35	3855
9	39	3880
10	42	3865
11	47	3894
12	51	3917
13	54	3871
14	58	3827
15	62	3837
16	66	3818
17	70	3837
18	74	3822
19	77	3818
20	81	3788
21	84	3772
22	88	3741
23	91	3713
24	95	3715
25	99	3708
26	102	3679
27	105	3657
28	108	3643
29	112	3635
30	115	3618
31	119	3622
32	123	3614
33	126	3597
34	129	3583
35	133	3573
36	137	3567
37	140	3560
38	143	3548
39	147	3538
40	150	3523
41	153	3509
42	157	3504
43	160	3495
44	164	3485
45	167	3481
46	171	3470
47	174	3467
48	178	3463
49	181	3452
50	184	3438
51	188	3432
52	191	3429
53	195	3420
54	198	3414
55	202	3406
56	205	3402
57	209	3400
58	212	3392
59	216	3395
60	220	3392
61	223	3382
62	226	3374
63	230	3367
64	234	3368
65	237	3366
66	249	3481
67	254	3489
68	258	3485
69	262	3484
70	265	3479
71	269	3477
72	273	3478
73	277	3475
74	281	3469
75	284	3463
76	288	3462
77	292	3459
78	296	3456
79	300	3453
80	304	3454
81	308	3452
82	312	3453
83	316	3449
84	320	3445
85	323	3440
86	327	3436
87	331	3433
88	335	3435
89	339	3431
90	343	3429
91	347	3433
92	351	3430
93	355	3429
94	359	3427
95	363	3426
96	367	3424
97	371	3422
98	375	3418
99	379	3413
100	382	3408
101	387	3409
102	391	3408
103	395	3407
104	399	3405
105	403	3403
106	407	3402
107	411	3400
108	418	3416
109	421	3412
110	425	3409
111	429	3405
112	433	3402
113	437	3397
114	441	3394
115	444	3388
116	448	3386
117	453	3388
118	457	3386
119	461	3383
120	466	3385
121	470	3383
122	473	3377
123	477	3374
124	481	3373
125	485	3367
126	489	3364
127	492	3358
128	496	3355
129	501	3353
130	504	3349
131	508	3346
132	512	3341
133	516	3336
134	519	3330
135	523	3328
136	528	3327
137	532	3323
138	535	3318
139	539	3315
140	543	3311
141	547	3309
142	552	3308
143	556	3306
144	559	3300
145	563	3297
146	567	3292
147	571	3287
148	574	3279
149	577	3273
150	581	3267
151	584	3260
152	587	3254
153	591	3246
154	594	3241
155	598	3235
156	601	3227
157	604	3221
158	608	3216
159	611	3210
160	614	3203
161	617	3196
162	621	3190
163	624	3183
164	627	3177
165	630	3170
166	634	3163
167	637	3156
168	640	3149
169	644	3144
170	647	3138
171	650	3131
172	653	3125
173	657	3120
174	660	3115
175	664	3109
176	667	3103
177	670	3096
178	673	3091
179	677	3085
180	680	3079
181	683	3072
182	686	3065
183	689	3058
184	693	3053
185	696	3046
186	699	3041
187	703	3037
188	706	3031
189	709	3026
190	712	3019
191	716	3014
192	719	3009
193	723	3004
194	726	2997
195	729	2991
196	747	3048
197	760	3079
198	773	3113
199	785	3143
200	798	3175
201	810	3202
202	822	3230
203	835	3259
204	848	3289
205	860	3315
206	873	3344
207	884	3368
208	896	3391
209	908	3418
210	920	3442
211	931	3463
212	944	3489
213	956	3512
214	968	3535
215	981	3564
216	993	3585
217	1006	3609
218	1018	3630
219	1028	3647
220	1037	3656
221	1044	3660
222	1051	3663
223	1058	3665
224	1065	3668
225	1072	3674
226	1079	3675
227	1086	3679
228	1094	3684
229	1099	3681
230	1104	3677
231	1109	3672
232	1113	3666
233	1117	3658
234	1122	3654
235	1126	3647
236	1131	3641
237	1134	3632
238	1137	3623
239	1141	3615
240	1145	3606
241	1148	3597
242	1151	3587
243	1154	3578
244	1158	3569
245	1161	3560
246	1165	3552
247	1168	3543
248	1172	3535
249	1176	3528
250	1179	3520
251	1182	3510
252	1186	3501
253	1189	3493
254	1192	3483
255	1195	3474
256	1198	3464
257	1201	3456
258	1205	3447
259	1208	3440
260	1211	3431
261	1214	3422
262	1217	3413
263	1220	3403
264	1223	3394
265	1227	3386
266	1231	3380
267	1235	3374
268	1238	3366
269	1242	3358
270	1245	3350
271	1249	3342
272	1252	3335
273	1255	3326
274	1258	3319
275	1262	3311
276	1265	3303
277	1268	3295
278	1272	3287
279	1275	3280
280	1279	3273
281	1282	3266
282	1286	3259
283	1289	3251
284	1292	3242
285	1295	3235
286	1299	3227
287	1302	3220
288	1305	3212
289	1309	3204
290	1312	3196
291	1315	3189
292	1318	3182
293	1321	3174
294	1325	3167
295	1328	3160
296	1332	3154
297	1336	3147
298	1339	3140
299	1343	3134
300	1346	3127
301	1349	3119
302	1352	3112
303	1356	3105
304	1360	3099
305	1363	3092
306	1366	3084
307	1369	3077
308	1373	3071
309	1376	3064
310	1380	3058
311	1383	3051
312	1387	3045
313	1390	3038
314	1393	3030
315	1396	3023
316	1400	3017
317	1403	3010
318	1406	3003
319	1410	2996
320	1413	2990
321	1416	2982
322	1419	2975
323	1423	2970
324	1426	2963
325	1430	2957
326	1434	2951
327	1437	2945
328	1440	2938
329	1444	2932
330	1447	2926
331	1451	2919
332	1455	2914
333	1458	2908
334	1461	2901
335	1464	2894
336	1468	2889
337	1472	2884
338	1475	2877
339	1478	2870
340	1482	2864
341	1485	2858
342	1488	2851
343	1491	2844
344	1494	2837
345	1497	2830
346	1500	2824
347	1503	2817
348	1506	2810
349	1509	2804
350	1512	2797
351	1516	2791
352	1520	2786
353	1523	2779
354	1526	2773
355	1529	2767
356	1532	2760
357	1536	2754
358	1539	2748
359	1542	2742
360	1545	2735
361	1548	2728
362	1551	2722
363	1554	2716
364	1557	2710
365	1561	2704
366	1564	2698
367	1568	2693
368	1571	2686
369	1574	2680
370	1578	2675
371	1581	2669
372	1585	2664
373	1588	2658
374	1592	2653
375	1595	2647
376	1598	2641
377	1601	2635
378	1604	2628
379	1607	2622
380	1610	2616
381	1613	2609
382	1616	2604
383	1619	2598
384	1623	2592
385	1626	2586
386	1629	2580
387	1632	2575
388	1636	2569
389	1639	2564
390	1643	2559
391	1646	2554
392	1650	2549
393	1653	2543
394	1657	2537
395	1660	2532
396	1664	2527
397	1667	2522
398	1671	2517
399	1681	2522
400	1684	2516
401	1688	2511
402	1692	2506
403	1696	2502
404	1699	2496
405	1702	2491
406	1705	2485
407	1709	2479
408	1712	2475
409	1716	2469
410	1719	2463
411	1722	2458
412	1725	2452
413	1729	2447
414	1732	2442
415	1735	2436
416	1738	2430
417	1741	2425
418	1745	2419
419	1748	2414
420	1751	2408
421	1754	2402
422	1757	2397
423	1760	2391
424	1764	2387
425	1767	2381
426	1771	2377
427	1775	2372
428	1778	2367
429	1782	2362
430	1786	2358
431	1790	2354
432	1794	2349
433	1797	2344
434	1801	2339
435	1804	2333
436	1807	2328
437	1811	2324
438	1815	2319
439	1819	2315
440	1823	2310
441	1826	2305
442	1830	2301
443	1834	2297
444	1838	2292
445	1842	2288
446	1846	2284
447	1849	2279
448	1853	2274
449	1856	2269
450	1859	2263
451	1862	2258
452	1865	2253
453	1869	2248
454	1872	2242
455	1875	2237
456	1878	2231
457	1881	2226
458	1886	2223
459	1890	2219
460	1893	2214
461	1897	2209
462	1900	2204
463	1904	2200
464	1908	2195
465	1911	2190
466	1915	2186
467	1919	2181
468	1943	2199
469	1956	2206
470	1970	2212
471	1981	2216
472	1993	2221
473	2007	2227
474	2020	2233
475	2033	2238
476	2045	2243
477	2057	2246
478	2069	2250
479	2082	2255
480	2095	2260
481	2108	2266
482	2121	2270
483	2129	2270
484	2138	2270
485	2144	2268
486	2151	2266
487	2159	2265
488	2165	2262
489	2170	2258
490	2175	2254
491	2179	2250
492	2183	2245
493	2187	2240
494	2190	2235
495	2195	2230
496	2199	2225
497	2203	2221
498	2208	2216
499	2211	2211
500	2215	2206
501	2219	2201
502	2223	2197
503	2227	2192
504	2231	2187
505	2235	2182
506	2240	2178
507	2243	2173
508	2248	2169
509	2252	2164
510	2256	2159
511	2260	2154
512	2264	2149
513	2268	2144
514	2271	2139
515	2275	2134
516	2279	2129
517	2282	2123
518	2285	2118
519	2289	2113
520	2292	2107
521	2296	2102
522	2300	2098
523	2303	2092
524	2307	2087
525	2310	2081
526	2314	2077
527	2319	2073
528	2322	2068
529	2326	2062
530	2330	2058
531	2333	2052
532	2336	2047
533	2340	2042
534	2343	2036
535	2347	2032
536	2350	2026
537	2354	2021
538	2357	2016
539	2360	2011
540	2364	2005
541	2367	2000
542	2372	1996
543	2376	1991
544	2379	1986
545	2382	1980
546	2385	1975
547	2388	1969
548	2392	1965
549	2396	1960
550	2399	1955
551	2402	1950
552	2406	1945
553	2409	1939
554	2413	1934
555	2417	1930
556	2420	1925
557	2425	1920
558	2428	1916
559	2445	1921
560	2458	1923
561	2470	1925
562	2482	1927
563	2493	1927
564	2507	1930
565	2522	1933
566	2534	1935
567	2545	1936
568	2552	1933
569	2558	1930
570	2563	1926
571	2568	1922
572	2573	1917
573	2577	1912
574	2581	1907
575	2584	1902
576	2588	1897
577	2592	1892
578	2595	1887
579	2599	1882
580	2602	1877
581	2606	1871
582	2609	1866
583	2613	1861
584	2617	1856
585	2620	1851
586	2624	1846
587	2628	1841
588	2631	1836
589	2635	1831
590	2638	1825
591	2641	1820
592	2645	1815
593	2648	1810
594	2652	1805
595	2655	1800
596	2659	1795
597	2662	1789
598	2666	1785
599	2669	1779
600	2672	1774
601	2676	1769
602	2679	1764
603	2683	1759
604	2687	1754
605	2691	1749
606	2696	1745
607	2699	1740
608	2703	1735
609	2707	1731
610	2711	1726
611	2715	1721
612	2718	1716
613	2723	1711
614	2726	1707
615	2730	1702
616	2734	1697
617	2738	1692
618	2756	1696
619	2760	1692
620	2764	1687
621	2767	1682
622	2771	1677
623	2775	1672
624	2779	1667
625	2782	1662
626	2786	1657
627	2790	1653
628	2794	1648
629	2798	1643
630	2802	1638
631	2806	1634
632	2810	1629
633	2813	1624
634	2816	1619
635	2820	1614
636	2824	1609
637	2828	1604
638	2832	1600
639	2836	1595
640	2839	1590
641	2843	1585
642	2846	1580
643	2850	1575
644	2853	1570
645	2857	1565
646	2860	1560
647	2864	1555
648	2867	1550
649	2870	1545
650	2874	1541
651	2877	1535
652	2881	1531
653	2885	1526
654	2889	1521
655	2892	1516
656	2897	1512
657	2902	1508
658	2906	1503
659	2910	1499
660	2914	1494
661	2918	1490
662	2922	1485
663	2926	1480
664	2930	1476
665	2933	1471
666	2938	1466
667	2941	1462
668	2945	1457
669	2949	1452
670	2958	1450
671	2961	1445
672	2965	1440
673	2968	1435
674	2972	1431
675	2976	1426
676	2979	1421
677	2983	1416
678	2987	1412
679	2990	1407
680	2994	1402
681	2998	1398
682	3002	1393
683	3005	1388
684	3009	1383
685	3016	1380
686	3020	1376
687	3023	1371
688	3027	1366
689	3031	1362
690	3035	1357
691	3038	1352
692	3041	1347
693	3045	1342
694	3048	1337
695	3051	1332
696	3055	1328
697	3058	1323
698	3061	1318
699	3065	1313
700	3069	1309
701	3072	1304
702	3076	1299
703	3080	1295
704	3084	1290
705	3088	1286
706	3093	1281
707	3097	1277
708	3101	1272
709	3104	1268
710	3108	1263
711	3112	1259
712	3117	1254
713	3121	1250
714	3125	1245
715	3129	1241
716	3132	1236
717	3136	1231
718	3140	1227
719	3143	1222
720	3147	1217
721	3150	1213
722	3154	1208
723	3157	1203
724	3160	1198
725	3163	1194
726	3167	1189
727	3171	1184
728	3174	1180
729	3178	1175
730	3181	1170
731	3184	1166
732	3188	1161
733	3192	1156
734	3195	1152
735	3199	1147
736	3202	1142
737	3206	1138
738	3209	1133
739	3212	1128
740	3215	1123
741	3218	1119
742	3222	1114
743	3225	1109
744	3229	1105
745	3232	1100
746	3235	1095
747	3239	1091
748	3242	1086
749	3245	1081
750	3249	1077
751	3253	1072
752	3256	1068
753	3259	1063
754	3262	1058
755	3265	1054
756	3269	1049
757	3272	1044
758	3275	1040
759	3279	1035
760	3283	1031
761	3286	1026
762	3290	1021
763	3294	1017
764	3297	1012
765	3301	1008
766	3304	1003
767	3308	999
768	3311	994
769	3314	989
770	3317	985
771	3321	980
772	3324	976
773	3328	971
774	3331	967
775	3335	962
776	3338	958
777	3342	953
778	3345	949
779	3349	944
780	3352	940
781	3356	935
782	3359	931
783	3362	926
784	3366	922
785	3369	917
786	3373	913
787	3376	908
788	3380	904
789	3384	899
790	3387	894
791	3390	890
792	3393	885
793	3397	881
794	3401	877
795	3405	872
796	3408	868
797	3411	863
798	3415	859
799	3418	854
800	3422	850
801	3425	845
802	3428	841
803	3431	836
804	3435	832
805	3438	827
806	3442	823
807	3447	819
808	3451	814
809	3454	810
810	3458	805
811	3461	801
812	3465	797
813	3469	792
814	3472	788
815	3476	783
816	3479	779
817	3483	775
818	3487	770
819	3490	766
820	3494	761
821	3497	757
822	3501	753
823	3504	748
824	3508	744
825	3511	739
826	3515	735
827	3519	731
828	3522	726
829	3526	722
830	3529	717
831	3533	713
832	3537	709
833	3541	704
834	3544	700
835	3548	696
836	3552	691
837	3555	687
838	3559	683
839	3563	678
840	3567	674
841	3570	670
842	3574	665
843	3577	661
844	3581	656
845	3584	652
846	3587	648
847	3591	643
848	3595	639
849	3599	635
850	3603	630
851	3606	626
852	3610	622
853	3613	617
854	3616	613
855	3619	608
856	3623	604
857	3626	600
858	3629	595
859	3632	591
860	3635	586
861	3639	582
862	3642	578
863	3645	573
864	3649	569
865	3653	565
866	3656	560
867	3659	556
868	3663	552
869	3667	547
870	3670	543
871	3673	539
872	3676	534
